timestamp,event_type,application,cpu_pct,ram_pct,hour_slot,extra
2026-03-14 01:37:38.078,mouse_click,dashboard.py - attention_pro - Visual Studio Code,0.0,74.2,01:00,btn:left
2026-03-14 01:37:48.913,idle,dashboard.py - attention_pro - Visual Studio Code,0.0,75.7,01:00,gap:5s
2026-03-14 01:37:57.916,mouse_click,dashboard.py - attention_pro - Visual Studio Code,10.6,76.8,01:00,btn:left
2026-03-14 01:37:59.634,mouse_click,dashboard.py - attention_pro - Visual Studio Code,9.5,76.9,01:00,btn:left
2026-03-14 01:38:04.017,mouse_click,dashboard.py - attention_pro - Visual Studio Code,8.5,76.8,01:00,btn:left
2026-03-14 01:38:09.325,idle,dashboard.py - attention_pro - Visual Studio Code,7.7,76.6,01:00,gap:5s
2026-03-14 01:38:13.509,mouse_click,dashboard.py - attention_pro - Visual Studio Code,7.5,77.4,01:00,btn:left
2026-03-14 01:38:15.106,mouse_click,dashboard.py - attention_pro - Visual Studio Code,8.0,78.2,01:00,btn:left
2026-03-14 01:38:16.675,navigation,dashboard.py - attention_pro - Visual Studio Code,100.0,78.5,01:00,arrow:up:count:5
2026-03-14 01:38:19.467,mouse_click,dashboard.py - attention_pro - Visual Studio Code,8.1,77.8,01:00,btn:left
2026-03-14 01:38:20.694,navigation,dashboard.py - attention_pro - Visual Studio Code,7.9,78.5,01:00,arrow:up:count:5
2026-03-14 01:38:27.577,idle,dashboard.py - attention_pro - Visual Studio Code,9.7,80.5,01:00,gap:5s
2026-03-14 01:38:28.110,mouse_click,dashboard.py - attention_pro - Visual Studio Code,12.2,81.1,01:00,btn:left
2026-03-14 01:38:31.211,navigation,dashboard.py - attention_pro - Visual Studio Code,13.2,79.9,01:00,arrow:up:count:5
2026-03-14 01:38:37.153,mouse_click,dashboard.py - attention_pro - Visual Studio Code,22.9,82.3,01:00,btn:left
2026-03-14 01:38:40.437,mouse_click,dashboard.py - attention_pro - Visual Studio Code,19.6,83.1,01:00,btn:left
2026-03-14 01:38:42.839,mouse_click,dashboard.py - attention_pro - Visual Studio Code,30.4,80.5,01:00,btn:left
2026-03-14 01:38:46.560,window_switch,dashboard.py - attention_pro - Visual Studio Code,14.0,81.4,01:00,→ NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge
2026-03-14 01:38:46.560,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,14.0,81.4,01:00,btn:left
2026-03-14 01:38:50.280,mouse_click,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,9.0,81.4,01:00,btn:left
2026-03-14 01:38:52.546,window_switch,NeuroFocus · Attention Intelligence - Personal - Microsoft​ Edge,10.0,81.3,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:38:52.546,mouse_click,dashboard.py - attention_pro - Visual Studio Code,10.0,81.3,01:00,btn:left
2026-03-14 01:38:55.403,window_switch,dashboard.py - attention_pro - Visual Studio Code,10.4,81.2,01:00,→ Enhancing design for professional appeal - Claude - Google Chrome
2026-03-14 01:38:55.403,mouse_click,Enhancing design for professional appeal - Claude - Google Chrome,10.4,81.2,01:00,btn:left
2026-03-14 01:38:56.949,mouse_click,Enhancing design for professional appeal - Claude - Google Chrome,17.7,81.7,01:00,btn:left
2026-03-14 01:39:01.574,window_switch,Enhancing design for professional appeal - Claude - Google Chrome,11.8,82.2,01:00,→ Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome
2026-03-14 01:39:01.574,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,11.8,82.2,01:00,btn:left
2026-03-14 01:39:07.074,idle,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,15.9,84.3,01:00,gap:5s
2026-03-14 01:39:20.061,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,9.8,82.6,01:00,btn:left
2026-03-14 01:39:24.244,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,10.6,82.5,01:00,btn:left
2026-03-14 01:39:26.076,mouse_click,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,13.3,82.5,01:00,btn:left
2026-03-14 01:39:26.952,window_switch,Streamlit dashboard deprecation warnings and offline functionality - Claude - Google Chrome,17.9,82.2,01:00,→ dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:39:26.952,mouse_click,dashboard.py - attention_pro - Visual Studio Code,17.9,82.2,01:00,btn:left
2026-03-14 01:39:30.453,window_switch,dashboard.py - attention_pro - Visual Studio Code,14.2,82.3,01:00,→ ● dashboard.py - attention_pro - Visual Studio Code
2026-03-14 01:39:30.453,keyboard,● dashboard.py - attention_pro - Visual Studio Code,14.2,82.3,01:00,burst:10
